m,M,epsilon_of_M,delta_of_M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.9,8.124460256902678,2.0250405006075078e-10,42.822623226232274,-0.0286183193851057,-0.0248989516293966,,,-0.0329739336282125,
0.1,0.8,7.20163387054215,2.0250405006075078e-10,42.822623226232274,-0.0299893726585579,-0.0222878474848591,,,-0.0337284672999039,
0.1,0.7,6.289006199146817,2.0250405006075078e-10,42.822623226232274,-0.0263114300186712,-0.0216971001112891,,,-0.0302067840055628,
0.1,0.6,5.369354225688749,2.0250405006075078e-10,42.822623226232274,-0.0236301919294335,-0.0152529583935362,,,-0.0277925710958793,
0.1,0.5,4.4437238255549545,2.0250405006075078e-10,42.822623226232274,-0.023606153302145,-0.0160678777669607,,,-0.0274203535522519,
0.1,0.4,3.5129433857049017,2.0250405006075078e-10,42.822623226232274,-0.0198918810851711,-0.0121929334263897,,,-0.0235361533316634,
0.1,0.3,2.57768021727734,2.0250405006075078e-10,42.822623226232274,-0.0181166603773111,-0.0101604514537639,,,-0.0214094640700639,
0.1,0.2,1.6384797862360887,2.0250405006075078e-10,42.822623226232274,-0.0148715111434129,-0.010772765605716,,,-0.0172907386050489,-0.0242267103219098
0.1,0.1,0.6957936829567963,2.0250405006075078e-10,42.822623226232274,-0.0139712880031126,-0.0053450847130783,-0.0149332750485102,-0.0056091563815207,-0.0136490960734616,-0.0038110234798897
0.2,0.9,4.401828373024444,1.8000360005400076e-10,42.822623226232274,-0.0365046064763525,-0.0321641689990734,,,-0.0401138404635039,
0.2,0.8,3.223680689207993,1.8000360005400076e-10,42.822623226232274,-0.036008716508851,-0.0305151465857843,,,-0.0392822692762833,
0.2,0.7,2.7890061991468182,1.8000360005400076e-10,42.822623226232274,-0.0322080679418992,-0.0257483931815366,,,-0.0358880846840797,
0.2,0.6,2.3693542256887485,1.8000360005400076e-10,42.822623226232274,-0.0306192102345752,-0.021824106351633,,,-0.0337890727565341,
0.2,0.5,1.9437238255549547,1.8000360005400076e-10,42.822623226232274,-0.027781973652258,-0.0237941665775637,,,-0.0307747828605776,-0.0374506217483015
0.2,0.4,1.512943385704903,1.8000360005400076e-10,42.822623226232274,-0.0255314577150416,-0.0188537031902197,,,-0.0275624077411327,-0.0292987463312663
0.2,0.3,1.07768021727734,1.8000360005400076e-10,42.822623226232274,-0.0238060540122923,-0.0172105156297918,-0.0259968456783712,-0.0505014292115425,-0.0253942982384066,-0.0230217523815223
0.2,0.2,0.6384797862360887,1.8000360005400076e-10,42.822623226232274,-0.0224690510913485,-0.0168843528737513,-0.0229114190347776,-0.0134708772837253,-0.0215195982048406,-0.012955405466649
0.3,0.9,3.4099494362087515,1.5750315004725067e-10,42.822623226232274,-0.0438923367558505,-0.0453769913254066,,,-0.0474631833713045,
0.3,0.8,2.045994587032702,1.5750315004725067e-10,42.822623226232274,-0.040745171936563,-0.0350572986605402,,,-0.043848339677268,
0.3,0.7,1.640458799262465,1.5750315004725067e-10,42.822623226232274,-0.0400333673702865,-0.0357625003827164,,,-0.0429914622325448,-0.0476451392313595
0.3,0.6,1.369354225688749,1.5750315004725067e-10,42.822623226232274,-0.0366980025645624,-0.0318956873631545,,,-0.0383015543728686,-0.041130951297199
0.3,0.5,1.110390492221622,1.5750315004725067e-10,42.822623226232274,-0.0372411626253062,-0.031161049042935,-0.0492226553122094,-0.1416226263448869,-0.0387305004763946,-0.040772566114193
0.3,0.4,0.8462767190382364,1.5750315004725067e-10,42.822623226232274,-0.0341540587458035,-0.0282501551023393,-0.0344365044703573,-0.0315030321008312,-0.0348922637159682,-0.0313648103166668
0.3,0.3,0.5776802172773403,1.5750315004725067e-10,42.822623226232274,-0.0306838686646601,-0.0226827667977701,-0.03073551971672,-0.0204543243271924,-0.0293713599163471,-0.015080786470631
0.4,0.9,2.829986971112398,1.3500270004050048e-10,42.822623226232274,-0.0505822508833887,-0.0496668989644462,,,-0.0536876776034681,
0.4,0.8,1.4835890505692233,1.3500270004050048e-10,42.822623226232274,-0.0489887079917668,-0.0448392424216112,,,-0.0517360505253972,-0.056716521014706
0.4,0.7,1.1012194973732938,1.3500270004050048e-10,42.822623226232274,-0.0477128125878002,-0.0457556174651437,,,-0.0489116232204204,-0.0510401397053943
0.4,0.6,0.8795437847470158,1.3500270004050048e-10,42.822623226232274,-0.044775804028021,-0.0394543572322702,-0.0463819869355962,-0.0517258526406115,-0.0449864081691101,-0.0401346580114482
0.4,0.5,0.6942122049418012,1.3500270004050048e-10,42.822623226232274,-0.0382135417586434,-0.0370087120481985,-0.0382043375251807,-0.0325206189092103,-0.037879118698548,-0.0353064071214477
0.4,0.4,0.5129433857049027,1.3500270004050048e-10,42.822623226232274,-0.0406100838768573,-0.0341174336511962,-0.0403006471330004,-0.0269069672166039,-0.0383494417794587,-0.0218165218734767
0.5,0.9,2.289006199146819,1.1250225003375047e-10,42.822623226232274,-0.0626861309431291,-0.0661909723817053,,,-0.0655819287768508,
0.5,0.8,1.106160025978658,1.1250225003375047e-10,42.822623226232274,-0.055412896344551,-0.061962638127865,,,-0.0571028185156574,-0.0670756053321257
0.5,0.7,0.7665765271043028,1.1250225003375047e-10,42.822623226232274,-0.0543255492274118,-0.0599722410657092,-0.0537704134277915,-0.0572652816860795,-0.0545142149455113,-0.0599755327243109
0.5,0.6,0.5847910971404157,1.1250225003375047e-10,42.822623226232274,-0.0541010419378804,-0.0505125359491988,-0.0538494957432584,-0.0457604527694451,-0.0532081794513836,-0.0420135606346075
0.5,0.5,0.4437238255549545,1.1250225003375047e-10,42.822623226232274,-0.0501652209051999,-0.0486521865687175,-0.0505957084156269,-0.0384144258659614,-0.0471332198510034,-0.0300405639054867
0.6,0.9,1.7462739719496303,9.000180002700038e-11,42.822623226232274,-0.0736917999346944,-0.0833085476463749,,,-0.0762264101863642,-0.0967268340383094
0.6,0.8,0.7917477838308223,9.000180002700038e-11,42.822623226232274,-0.0647395217013766,-0.0636815074664152,-0.064106524395856,-0.0727542958679048,-0.0648458946132098,-0.062711355779682
0.6,0.7,0.5116199692419677,9.000180002700038e-11,42.822623226232274,-0.0633652703732212,-0.0733549181942834,-0.0631060499484395,-0.0532220622172502,-0.0612252115995002,-0.0606997187457927
0.6,0.6,0.3693542256887488,9.000180002700038e-11,42.822623226232274,-0.0622466404086005,-0.0656793833371693,-0.0604124951200574,-0.0481294859896112,-0.0582115950113851,-0.0427894675060375
0.7,0.9,1.201633870542148,6.750135002025028e-11,42.822623226232274,-0.0871521082396873,-0.1115311162647523,,,-0.088810017468536,-0.120285174502276
0.7,0.8,0.4962739719496296,6.750135002025028e-11,42.822623226232274,-0.0815180181425276,-0.0976524625183454,-0.0803208976017361,-0.0721422393924755,-0.0789748323653783,-0.0821474640919298
0.7,0.7,0.2890061991468179,6.750135002025028e-11,42.822623226232274,-0.0814969023362078,-0.0939663993865388,-0.0812437495163249,-0.0687866716556526,-0.0749291896573027,-0.0523823481806547
0.8,0.9,0.6549075383306459,4.5000900013500165e-11,42.822623226232274,-0.1122993312312129,-0.1389404333882782,-0.1092914501262759,-0.121918083728419,-0.112026048652858,-0.13579868315749
0.8,0.8,0.201633870542148,4.5000900013500165e-11,42.822623226232274,-0.1093222105348245,-0.13306701320468,-0.1080662114580828,-0.097636417423868,-0.0972834787389844,-0.0684688216163155
0.9,0.9,0.1058903767517809,2.250045000675008e-11,42.822623226232274,-0.1710065936098836,-0.2586919988892865,-0.1649448407576549,,-0.1435295066123195,-0.114401009597517
0.01,0.09,8.701348465455066,2.2275445506682583e-10,42.822623226232274,-0.0063023880305707,-0.0046980521250713,,,-0.0104406417953541,
0.01,0.08,7.706872562716085,2.2275445506682583e-10,42.822623226232274,-0.0057875345167649,-0.0009098148177359,,,-0.0098117368283959,
0.01,0.07,6.712366311895555,2.2275445506682583e-10,42.822623226232274,-0.0046824351282152,-0.0010107822502288,,,-0.0088051013517466,
0.01,0.06,5.717830044622759,2.2275445506682583e-10,42.822623226232274,-0.0043995456020709,-0.0027232176612385,,,-0.0087124869183567,
0.01,0.05,4.723264087120668,2.2275445506682583e-10,42.822623226232274,-0.004561839627551,-7.727864830769926e-05,,,-0.008236903706501,
0.01,0.04,3.7286687603228272,2.2275445506682583e-10,42.822623226232274,-0.0037574394302388,0.0001416206466742,,,-0.0078589229301533,
0.01,0.03,2.7340443799871026,2.2275445506682583e-10,42.822623226232274,-0.0032742215448329,-0.0019548915622682,,,-0.0067978548445789,
0.01,0.02,1.7393912568063583,2.2275445506682583e-10,42.822623226232274,-0.0033193136220537,-0.0011128122553997,,,-0.0058500338239301,-0.0153494507634831
0.01,0.01,0.7447096965162275,2.2275445506682583e-10,42.822623226232274,-0.0027953126423835,-0.0002311092669635,-0.0025493055197647,-0.0020077235543963,-0.0030168752969774,-0.0001792033782267
0.02,0.09,4.201348465455063,2.2050441006615078e-10,42.822623226232274,-0.0068624082473983,-0.0029262890057156,,,-0.0104665938314344,
0.02,0.08,3.706872562716081,2.2050441006615078e-10,42.822623226232274,-0.0068655368097678,-0.0022778615660366,,,-0.0107624125090601,
0.02,0.07,3.2123663118955554,2.2050441006615078e-10,42.822623226232274,-0.0061620251965723,-0.0029655860829602,,,-0.0096521395861792,
0.02,0.06,2.717830044622758,2.2050441006615078e-10,42.822623226232274,-0.0065180858748731,-0.0010363412152143,,,-0.0097776119991901,
0.02,0.05,2.223264087120667,2.2050441006615078e-10,42.822623226232274,-0.0059149677922562,-0.0033924787813832,,,-0.0088416722252685,
0.02,0.04,1.728668760322827,2.2050441006615078e-10,42.822623226232274,-0.0055864847006153,-0.0005201632266043,,,-0.0081951435852529,-0.015846611207444
0.02,0.03,1.234044379987102,2.2050441006615078e-10,42.822623226232274,-0.0047456143285451,-0.0032708980322578,-0.0108861504213758,-0.0445600828933845,-0.0066946880114933,-0.0110552754128554
0.02,0.02,0.7393912568063585,2.2050441006615078e-10,42.822623226232274,-0.0045937385699991,-0.000556644640374,-0.0049782459442407,0.0005704682239647,-0.00470451954825,-0.0016422063308598
0.03,0.09,2.7013484654550624,2.1825436506547587e-10,42.822623226232274,-0.0075716343307129,-0.0026655103962118,,,-0.0108934924679919,
0.03,0.08,2.373539229382749,2.1825436506547587e-10,42.822623226232274,-0.0082720343440112,-0.0050778590135635,,,-0.0111258568254538,
0.03,0.07,2.045699645228887,2.1825436506547587e-10,42.822623226232274,-0.0075816962623913,-0.0028744504069233,,,-0.0102011332605704,
0.03,0.06,1.717830044622758,2.1825436506547587e-10,42.822623226232274,-0.0071344726632589,-0.0045715678888524,,,-0.0096232010249975,-0.0166582062863837
0.03,0.05,1.3899307537873329,2.1825436506547587e-10,42.822623226232274,-0.0068002463834528,-0.0042777808991004,-0.0392367198777705,-0.1759010478864152,-0.0087326003647577,-0.0149229880789107
0.03,0.04,1.062002093656161,2.1825436506547587e-10,42.822623226232274,-0.0062193916817078,-0.0023078009447706,-0.0088647419443849,-0.0198407077907217,-0.0077370310425313,-0.0101577841216914
0.03,0.03,0.734044379987102,2.1825436506547587e-10,42.822623226232274,-0.0063733583369517,-0.0018053901733187,-0.00562080115513,-0.0015889837176508,-0.0061774253356622,-0.002390130457148
0.04,0.09,1.9513484654550628,2.1600432006480083e-10,42.822623226232274,-0.0088209095840518,-0.0048367740706946,,,-0.0113766507068281,-0.0197478638496279
0.04,0.08,1.706872562716082,2.1600432006480083e-10,42.822623226232274,-0.009042457459349,-0.0020489993241293,,,-0.0114072506116226,-0.0169592808150058
0.04,0.07,1.462366311895554,2.1600432006480083e-10,42.822623226232274,-0.008521373927154,-0.0039954301745027,,,-0.0105964665380085,-0.0156461247019856
0.04,0.06,1.217830044622758,2.1600432006480083e-10,42.822623226232274,-0.0077763158738013,-0.0050519688091914,-0.012776804764518,-0.0480519540792221,-0.009368992116033,-0.0122400076590196
0.04,0.05,0.9732640871206666,2.1600432006480083e-10,42.822623226232274,-0.0075785880722386,-0.0036661218280328,-0.009238853715579,-0.0142717023416137,-0.0084164842237074,-0.0076585066175422
0.04,0.04,0.7286687603228275,2.1600432006480083e-10,42.822623226232274,-0.007588945815214,-0.0045242932347349,-0.0080497974281516,-0.0055788271731725,-0.0076213922335298,-0.0043914232916014
0.05,0.09,1.501348465455063,2.1375427506412576e-10,42.822623226232274,-0.0102204018178128,-0.0054123214259188,,,-0.012345207705224,-0.015530807633424
0.05,0.08,1.3068725627160815,2.1375427506412576e-10,42.822623226232274,-0.0089412460748083,-0.0045194739327303,-0.0202860204673352,-0.0925346426397113,-0.0108008702942999,-0.0148236330790339
0.05,0.07,1.1123663118955545,2.1375427506412576e-10,42.822623226232274,-0.0090853498405235,-0.0026052514337338,-0.0114097147234857,-0.0268671415260938,-0.0104454050176227,-0.0111124960831542
0.05,0.06,0.9178300446227584,2.1375427506412576e-10,42.822623226232274,-0.0094535587713051,-0.0052798460877968,-0.0101909218427172,-0.0116842785184227,-0.0101227214660513,-0.0078889272911013
0.05,0.05,0.7232640871206666,2.1375427506412576e-10,42.822623226232274,-0.0080917060887741,-0.0046033059027074,-0.0078885978929394,-0.0035625410100112,-0.0080198962542148,-0.0024705575682173
0.06,0.09,1.201348465455063,2.115042300634508e-10,42.822623226232274,-0.0106208997605013,-0.0058151759312246,-0.0152853060873089,-0.0466180635769939,-0.0122392502154297,-0.0153964099821464
0.06,0.08,1.0402058960494147,2.115042300634508e-10,42.822623226232274,-0.0106600078619096,-0.0056403757660005,-0.012108458672036,-0.0210791225795008,-0.0115648558261528,-0.0112289268968725
0.06,0.07,0.8790329785622212,2.115042300634508e-10,42.822623226232274,-0.0098141385652274,-0.0036841381586814,-0.0101211184964706,-0.0080765823659254,-0.0107358558724368,-0.0068003058124131
0.06,0.06,0.7178300446227582,2.115042300634508e-10,42.822623226232274,-0.0102764930895121,-0.0067043413597783,-0.0102259614027015,-0.0038992676651191,-0.0097679505919967,-0.0044620055499816
0.07,0.09,0.9870627511693488,2.0925418506277583e-10,42.822623226232274,-0.0113198532651072,-0.0052580560782357,-0.0121006361984722,-0.0181309297737794,-0.0125229022473434,-0.0103619978234626
0.07,0.08,0.8497297055732245,2.0925418506277583e-10,42.822623226232274,-0.0110516000163745,-0.0041016972280609,-0.0117403410281646,-0.0074425064727499,-0.0115216687109977,-0.0077461129829372
0.07,0.07,0.7123663118955542,2.0925418506277583e-10,42.822623226232274,-0.0113389301512341,-0.0065767654161265,-0.0114272344053247,-0.0059235414740001,-0.0110802391694854,-0.0057944752044134
0.08,0.09,0.8263484654550631,2.0700414006210086e-10,42.822623226232274,-0.0137173842318672,-0.0075246508727763,-0.0131279702287105,-0.0080812769974381,-0.0140974752566473,-0.0093626727849008
0.08,0.08,0.7068725627160817,2.0700414006210086e-10,42.822623226232274,-0.011935252694597,-0.0048653829117879,-0.0121946960145263,-0.0032681074620688,-0.0116668304220583,-0.0043599015751549
0.09,0.09,0.7013484654550635,2.0475409506142587e-10,42.822623226232274,-0.0133393380074207,-0.0081428256362291,-0.0126365816000967,-0.0081268804447714,-0.0134250862423013,-0.0031794227810982
